ID,카테고리,한국 트렌드 워드,직역(기준선),일본 매칭어 ★추천,읽기,표기유형,매칭유형,"우선
순위","IG 해시태그
(추정·건)","검색
노출도","거부감/
위화감","薬機法
리스크",薬機法 비고,브랜드 채택 예시,연관추천 키워드,뉘앙스/사용맥락
174,스킨케어/고민,여드름흔적,-,ニキビ跡,ニキビあと,혼합,C,1,330000,中,중간,CAUTION,'消える' 단정 NG,COSRX,"ニキビ, くすみ",-
175,스킨케어/고민,좁쌀,-,ポツポツ,-,히라가나,C,1,90000,低,낮음,SAFE,-,-,"ザラつき, 角質",-
176,스킨케어/제형,수분크림,水分クリーム,水分クリーム,すいぶんクリーム,혼합,A,1,290000,中,낮음,SAFE,-,Torriden,"ジェルクリーム, 高保湿",-
177,스킨케어/제형,수면팩,睡眠パック,スリーピングパック,-,혼합,C,1,210000,中,낮음,SAFE,寝る前パック 병용,Laneige,"ナイトケア, 保湿",-
178,스킨케어/제형,클렌징오일,-,クレンジングオイル,-,카타카나,B,1,340000,中,낮음,SAFE,-,-,"毛穴, メイク落とし",-
179,스킨케어/제형,클렌징밤,-,クレンジングバーム,-,카타카나,B,1,260000,中,낮음,SAFE,-,Banila Co,"毛穴, メイク落とし",-
180,스킨케어/제형,미스트,-,フェイスミスト,-,혼합,B,1,170000,中,낮음,SAFE,-,-,"保湿, うるおい",-
181,스킨케어/제형,멀티밤,-,マルチバーム,-,카타카나,B,1,80000,低,낮음,SAFE,-,-,"保湿, スティック",-
182,스킨케어/제형,각질패드,角質パッド,角質ケアパッド,-,혼합,C,1,150000,中,낮음,SAFE,-,COSRX,"トナーパッド, ピーリング",-
183,스킨케어/선케어,선크림,日焼け止め,日焼け止め,ひやけどめ,한자,C,1,1500000,高,낮음,SAFE,サンクリーム보다 압도적,Round Lab,"UVケア, SPF",일본은 日焼け止め 주류
184,스킨케어/선케어,톤업선크림,-,トーンアップ日焼け止め,-,혼합,C,1,310000,中,낮음,SAFE,-,numbuzin,"UVケア, トーンアップ",-
185,스킨케어/선케어,무기자차,無機紫外線遮断,ノンケミカル,-,혼합,C,1,180000,中,낮음,SAFE,-,-,"紫外線吸収剤不使用, 敏感肌",-
186,스킨케어/선케어,백탁없는,白濁無し,白浮きしない,しろうきしない,혼합,D,1,220000,中,낮음,SAFE,-,-,"日焼け止め, トーンアップ",일본 고유 표현
187,스킨케어/선케어,속건조없는선크림,-,乾燥しない日焼け止め,-,혼합,C,1,95000,低,낮음,SAFE,-,-,"保湿, UVケア",-
188,메이크업/포인트,마스카라,-,マスカラ,-,카타카나,B,1,680000,高,낮음,SAFE,-,-,"まつげ, カール",-
189,메이크업/포인트,아이라이너,-,アイライナー,-,카타카나,B,1,520000,高,낮음,SAFE,-,-,"目元, にじみにくい",-
190,메이크업/포인트,눈썹,眉,アイブロウ,-,카타카나,C,1,440000,中,낮음,SAFE,眉メイク 병용,-,"眉, ナチュラル",-
191,메이크업/포인트,립글로스,-,リップグロス,-,카타카나,B,1,490000,中,낮음,SAFE,-,rom&nd,"ツヤ, うるツヤ",-
192,메이크업/포인트,속눈썹,-,まつげ,-,히라가나,C,1,360000,中,낮음,SAFE,-,-,"マスカラ, カール",-
193,메이크업/룩,한국메이크,韓国メイク,韓国メイク,かんこくメイク,혼합,A,1,1200000,高,낮음,SAFE,オルチャンメイク 병용,-,"水光肌, ツヤ",핵심 태그
194,메이크업/룩,데일리룩,-,デイリーメイク,-,혼합,C,1,280000,中,낮음,SAFE,-,-,"ナチュラル, 普段使い",-
195,메이크업/룩,꾸안꾸,-,ナチュラルメイク,-,혼합,D,1,310000,中,낮음,SAFE,'手抜きに見えない自然さ',-,"すっぴん風, デイリー",꾸민듯 안꾸민 → 의역
196,펨케어/이너,비타민,-,ビタミン,-,카타카나,B,1,720000,高,낮음,CAUTION,효능 단정 주의,-,"サプリ, 健康",-
197,펨케어/이너,영양제,栄養剤,サプリメント,-,카타카나,C,1,640000,高,낮음,CAUTION,의약품 효능 표현 금지,-,"サプリ, インナーケア",-
198,펨케어/이너,콜라겐젤리,-,コラーゲンゼリー,-,혼합,B,1,150000,中,낮음,CAUTION,효능 단정 주의,iHEAL,"コラーゲン, インナービューティー",-
199,펨케어/이너,부기케어,浮腫ケア,むくみケア,-,혼합,C,1,200000,中,중간,CAUTION,의료 효능 표현 주의,-,"スッキリ, 巡り",-
200,펨케어/이너,수면,睡眠,睡眠サポート,-,혼합,C,1,170000,中,중간,CAUTION,의약 효능 단정 금지,-,"リラックス, 休息",-
201,펨케어/이너,속편한,-,スッキリ,-,히라가나,D,1,260000,中,낮음,SAFE,-,iHEAL,"巡り, 腸活",-
202,다이어트/프로틴,운동전후,運動前後,運動前後,うんどうぜんご,한자,A,1,140000,中,낮음,SAFE,-,Mileat,"プロテイン, 筋力",-
203,다이어트/프로틴,근력,筋力,筋力,きんりょく,한자,A,1,180000,中,중간,CAUTION,효능 단정 주의,Mileat,"プロテイン, トレーニング",-
204,다이어트/프로틴,클린이팅,-,クリーンイーティング,-,카타카나,B,1,70000,低,낮음,SAFE,-,Mileat,"ヘルシー, 無添加",-
205,다이어트/프로틴,다이어트보조,ダイエット補助,ダイエットサポート,-,혼합,C,1,210000,中,중간,CAUTION,'痩せる' 단정 금지,Mileat,"低カロリー, 置き換え",-
206,다이어트/프로틴,무설탕,無糖,無糖,むとう,한자,A,1,380000,中,중간,CAUTION,표기 기준 준수,Mileat,"砂糖不使用, ヘルシー",-
207,다이어트/프로틴,헬시,-,ヘルシー,-,카타카나,B,1,520000,高,낮음,SAFE,-,Mileat,"低カロリー, ダイエット",-
208,커머스,무료배송,無料配送,送料無料,そうりょうむりょう,한자,C,1,1400000,高,낮음,SAFE,-,-,"お得, ポイント",-
209,커머스,당일발송,当日発送,即日発送,そくじつはっそう,한자,C,1,290000,中,낮음,SAFE,-,-,"あす楽, 発送",-
210,커머스,리뉴얼,-,リニューアル,-,카타카나,B,1,330000,中,낮음,SAFE,-,-,"新作, 改良",-
211,커머스,사은품,謝恩品,おまけ,-,히라가나,D,1,240000,中,낮음,SAFE,ノベルティ 병용,-,"プレゼント, 特典",-
212,커머스,예약판매,予約販売,予約販売,よやくはんばい,한자,A,1,210000,中,낮음,SAFE,-,-,"先行発売, 限定",-
213,커머스,입점,入店,取り扱い開始,-,혼합,C,1,90000,低,낮음,SAFE,-,-,"新規, 公式",-
214,커머스,체험단,体験団,モニター募集,-,혼합,C,1,160000,中,낮음,SAFE,-,-,"口コミ, PR",와사비텐 인플루언서 연계
215,커머스,협찬,協賛,PR提供,-,혼합,C,1,310000,中,중간,CAUTION,#PR 표기 의무(스텔스마케팅 규제),-,"タイアップ, 提供",✗ PR 미표기 시 위반
216,커머스,재입고,再入庫,再入荷,さいにゅうか,한자,C,1,440000,中,낮음,SAFE,-,-,"完売, 人気",-
217,커머스,한정세트,限定セット,限定セット,げんていセット,혼합,A,1,260000,中,낮음,SAFE,-,-,"ギフト, 数量限定",-
218,커머스,베스트템,ベストアイテム,ベスコス,-,카타카나,D,1,180000,中,낮음,SAFE,'ベストコスメ' 약어,-,"殿堂入り, 人気",일본 뷰티 정착어
219,커머스,온라인단독,オンライン単独,オンライン限定,-,혼합,C,1,150000,中,낮음,SAFE,-,-,"限定, 公式",-
